question,expected,model,correct,repeated,hallucination,rouge1,bleu,semantic
"What Latin word is the name Nvidia derived from, and what does it mean?","""Invidia,"" the Latin word for ""envy""",envy,False,False,True,0.2857142857142857,8.07337603138401e-06,0.5021368265151978
What was the name of Nvidia's first graphics accelerator?,NV1,NV1,True,False,False,1.0,0.1778279410038923,1.0
Why did the NV1 fail to gain traction in the market?,"Because Microsoft's DirectX platform chose to exclusively support triangle primitives, which the NV1 was not optimized for.",It chose not to support any other graphics software and announced that its Direct3D API would exclusively support triangles,False,False,True,0.3243243243243243,0.02568834612294236,0.6219030618667603
"Which gaming console project did Nvidia abandon after a year of work, receiving a $5 million investment from the console's president?",Sega Dreamcast,Dreamcast,True,False,True,0.6666666666666666,0.06541924356118012,0.8874189853668213
What was Nvidia's headcount reduced to in 1996 after Huang laid off more than half of the employees?,From 100 to 40,100 to 40,True,False,True,0.8571428571428571,0.40293516672844226,0.8936164379119873
What was the name of the graphics accelerator released in August 1997 that was optimized for triangle primitives?,RIVA 128,RIVA 128,True,False,True,1.0,0.316227766016838,1.0
What was Nvidia's unofficial company motto for many years?,"""Our company is thirty days from going out of business.""",Our company is thirty days from going out of business,True,False,True,1.0,0.7408182206817179,0.8010947108268738
When did Nvidia go public?,"January 22, 1999","January 22, 1999",True,False,False,1.0,1.0,1.0
"What was the name of the first product expressly marketed as a GPU by Nvidia, which introduced onboard T&L to consumer hardware?",GeForce 256 (NV10),GeForce 256 (NV10),True,False,False,1.0,1.0,1.0000001192092896
Which game console contract earned Nvidia a \$200 million advance from Microsoft?,Microsoft's Xbox game console,Xbox,True,False,False,0.33333333333333337,0.003257032351754417,0.7270776033401489
Which pioneer in consumer 3D graphics technology did Nvidia acquire the intellectual assets of in December 2000?,3dfx,3dfx,True,False,False,1.0,0.1778279410038923,1.0000001192092896
What major stock index did Standard & Poor's select Nvidia to replace the departing Enron in 2001?,The S&P 500 stock index,S&P 500,True,False,True,0.6666666666666666,0.4723665527410147,0.7582047581672668
What physics engine company did Nvidia acquire in February 2008?,Ageia (developer of PhysX),Ageia,False,False,True,0.4,0.0011981952414407235,0.6002480983734131
What was the total value and duration of the cross-licensing agreement Nvidia signed with Intel in 2011?,\$1.5 billion over six years,$1.5 billion,True,False,True,0.6666666666666666,0.14823156396438122,0.793221652507782
"What was the name of Nvidia's first quad-core mobile CPU system on a chip for mobile devices, released in November 2011?",Tegra 3,Tegra 3.,True,False,True,1.0,0.24028114141347542,0.9787815809249878
"What was the design theme for Nvidia's new headquarters buildings, planned in 2013?","Triangles, as the fundamental building block of computer graphics",Triangles,False,False,True,0.19999999999999998,2.1945711360427958e-05,0.6924106478691101
"Since 2014, what are the three key markets Nvidia has diversified its business to focus on?","Gaming, automotive electronics, and mobile devices","gaming, automotive electronics, and mobile devices",True,False,False,1.0,1.0,1.0
What microarchitecture were the first GPUs of the GeForce 10 series (GTX 1080 and 1070) based on?,Pascal microarchitecture,Pascal,False,False,True,0.6666666666666666,0.06541924356118012,0.6233092546463013
What is the name of the new hardware feature in the Pascal architecture designed to improve multi-monitor and VR rendering?,Simultaneous multi-projection (SMP),simultaneous multi-projection (SMP),True,False,False,1.0,1.0,1.0000001192092896
What is the name of Nvidia's design standard for sufficiently thin laptops (under 0.8 inches) that include their GPUs?,"""Max-Q"" design standard",Max-Q,True,False,True,0.6666666666666666,0.003257032351754417,0.7174354791641235
Which car company announced a partnership with Nvidia in May 2017 to use the Drive PX-series AI platform for autonomous vehicles?,Toyota,Toyota,True,False,False,1.0,0.1778279410038923,1.0
Which Chinese search giant did Nvidia announce a far-reaching AI partnership with in July 2017?,Baidu,Baidu,True,False,True,1.0,0.1778279410038923,1.0
What were the first-generation GPUs of the Nvidia RTX series that were officially released in September 2018?,RTX 2080 GPUs (part of the RTX 20 series),RTX 2080,True,False,False,0.3636363636363636,0.0035129731579771513,0.8106976747512817
What company did Nvidia announce a deal to buy for \$6.9 billion in March 2019 to expand into high-performance computing?,Mellanox Technologies,Mellanox Technologies,True,False,True,1.0,0.316227766016838,1.0
What technology did the official Nvidia-developed patch for Minecraft RTX add to the Windows 10 version of the game?,Real-time DXR ray tracing,real-time DXR ray tracing,True,False,True,1.0,1.0,1.0
What GPU microarchitecture and accelerator were officially announced in May 2020?,Ampere GPU microarchitecture and the Nvidia A100 GPU accelerator,Ampere,False,False,True,0.19999999999999998,5.965462840365855e-05,0.30997616052627563
What UK-based chip designer did Nvidia announce plans to buy from SoftBank Group for \$40 billion in September 2020?,Arm,Not found in document.,False,False,True,0.0,0.0,0.10536526888608932
"What was the name of the supercomputer Nvidia built in Cambridge, England, to employ AI for healthcare research?",Cambridge-1,Cambridge-1,True,False,False,1.0,0.1778279410038923,1.0000001192092896
Which workstation GPU brand did Nvidia announce it was retiring in October 2020?,Quadro,Quadro,True,False,True,1.0,0.1778279410038923,1.0
What reason did SoftBank and Nvidia give for agreeing not to move forward with the acquisition of Arm in February 2022?,"""Because of significant regulatory challenges""",significant regulatory challenges,True,False,False,0.7499999999999999,0.14823156396438122,0.8566927909851074
What is the name of Nvidia's next-generation automotive-grade chip announced in September 2022?,Drive Thor,Drive Thor,True,False,True,1.0,0.316227766016838,1.0
"What is the name of Nvidia's AI-powered healthcare software suite, which a collaboration with the Broad Institute was announced for?",Clara,Clara,True,False,True,1.0,0.1778279410038923,1.0000001192092896
What new advanced chip did Nvidia unveil in China in November 2022 to comply with U.S. export control rules?,A800 GPU,A800 GPU,True,False,False,1.0,0.316227766016838,1.0
"What is the name of Nvidia's generative AI model used by Getty Images, which is available on the Picasso model library?",Edify model,Edify,True,False,True,0.6666666666666666,0.06541924356118012,0.7528195977210999
"Which two technology leaders were described as ""begging"" Jensen Huang for H100 GPUs at a dinner in October 2023?","Larry Ellison of Oracle Corporation and Elon Musk of Tesla, Inc. and xAl","Larry Ellison of Oracle Corporation said that month that during a dinner with Huang at Nobu in Palo Alto, he and Elon Musk of Tesla, Inc. and xAl ""were begging"" for H100s",False,False,False,0.5777777777777777,0.31225468752865415,0.6644458174705505
"What was the estimated price range for the H100 GPU in January 2024, according to Raymond James Financial analysts?","\$25,000 to \$30,000 each","$25,000 to $30,000",True,False,True,0.9090909090909091,0.1835062304480642,0.8495484590530396
What was the median earnings for half of Nvidia employees in 2023?,"Over \$228,000","Over $228,000",True,False,False,1.0,0.19053627645285995,0.9803264141082764
On what date did Nvidia become the third company in US history to close with a market capitalization over \$2 trillion?,"March 1, 2024","March 1, 2024",True,False,True,1.0,1.0,1.0
"What is the name of Nvidia's new AI chip and microarchitecture announced on March 18, 2024?",Blackwell,Blackwell,True,False,True,1.0,0.1778279410038923,1.0
Which U.S. government agency led the antitrust investigation into Nvidia starting in June 2024?,The Justice Department (DOJ),DOJ,False,False,True,0.4,0.0011981952414407235,0.6364366412162781
On what date did Nvidia surpass Microsoft and Apple to become the world's most valuable company with a market capitalization over \$3.3 trillion?,"June 18, 2024","June 18, 2024",True,False,True,1.0,1.0,1.0
What family of open-source multimodal large language models did Nvidia introduce in October 2024?,NVLM 1.0,NVLM 1.0,True,False,False,1.0,0.316227766016838,1.0000001192092896
What major stock index was Nvidia added to in November 2024?,The Dow Jones Industrial Average,Dow Jones Industrial Average,True,False,False,0.888888888888889,0.7788007830714049,0.9352173805236816
What did Morgan Stanley report about the entire 2025 production of Nvidia's Blackwell chips in November 2024?,"It was ""already sold out""",already sold out,True,False,True,0.7499999999999999,0.14823156396438122,0.7284138798713684
On what date did Nvidia become the first company in the world to reach a market cap of \$4 trillion?,"July 10, 2025","July 10, 2025",True,False,True,1.0,1.0,1.0
What Chinese AI startup was cited as the cause for Nvidia's \$600 billion one-day loss in market cap in January 2025?,DeepSeek,DeepSeek,True,False,True,1.0,0.1778279410038923,1.0
What was the total revenue reported by Nvidia for the fiscal year 2025 (in millions of US dollars)?,"US\$130,497 million","130,497 72,880 36,000",False,False,True,0.4,0.0814136751754278,0.5995290279388428
What was the net income reported by Nvidia for the fiscal year 2024 (in millions of US dollars)?,"US\$29,760 million",Not found in document.,False,False,True,0.0,0.0,-0.0035305398050695658
Who is Nvidia's Executive Vice President and Chief Financial Officer as of March 2024?,Colette Kress,Colette Kress,True,False,True,1.0,0.316227766016838,1.0000001192092896
Who is the largest shareholder of Nvidia as of early 2024?,The Vanguard Group (8.280%),The Vanguard Group,True,False,False,0.7499999999999999,0.14823156396438122,0.8652783036231995
What does GTC stand for in the context of Nvidia's technical conferences?,GPU Technology Conference,GPU Technology Conference,True,False,False,1.0,0.5623413251903491,1.0000001192092896
What product family is Nvidia's consumer-oriented graphics processing line?,GeForce,GeForce,True,False,False,1.0,0.1778279410038923,1.0
What product family replaced the GTX and Quadro brands for professional visual computing graphics processing products?,RTX,GTX,False,False,False,0.0,0.0,0.5007889270782471
What is the product family name for Nvidia's system on a chip series for mobile devices?,Tegra,Tegra,True,False,True,1.0,0.1778279410038923,1.0000001192092896
What is the product family name for dedicated general-purpose GPUs for high-end image generation applications in professional and scientific fields?,Tesla,Tesla,True,False,True,1.0,0.1778279410038923,1.0000001192092896
What is the name of the enterprise platform designed by Nvidia for deep learning applications?,DGX,DGX,True,False,False,1.0,0.1778279410038923,1.0
What virtual environment for engineers was unveiled by Nvidia in 2020?,Omniverse,Omniverse,True,False,True,1.0,0.1778279410038923,1.0
What was the core reason Nvidia GPUs are used in deep learning and accelerated analytics?,Nvidia's CUDA software platform and API which allows programmers to utilize the higher number of cores in GPUs to parallelize BLAS operations.,Nvidia's CUDA software platform and API which allows programmers to utilize the higher number of cores present in GPUs to parallelize BLAS operations,True,False,False,0.9787234042553191,0.8843865924896842,0.9817366600036621
What was the refund amount Nvidia offered in the class action lawsuit settlement for the GTX 970's false advertising?,\$30 refund on GTX 970 purchases,$30,False,False,True,0.2857142857142857,0.015744053406497194,0.4230133891105652
What was the primary reason Nvidia told YouTube reviewer Steven Walton (Hardware Unboxed) they would no longer supply him with GPU review units in 2020?,Focusing on rasterization instead of ray tracing,Not found in document.,False,False,True,0.0,0.0,-0.197516530752182
What financial misconduct did the U.S. Securities and Exchange Commission (SEC) charge Nvidia with in 2022?,"Failure to disclose that cryptomining was a ""significant element"" of its revenue growth from gaming chip sales in 2018.",disclosures about cryptomining,False,False,False,0.09090909090909091,0.0002018043245514996,0.6570144891738892
What was the amount of the civil charges settlement Nvidia agreed to pay the SEC regarding improper disclosures about cryptomining?,\$5.5 million,$5.5 million,True,False,False,1.0,0.40293516672844226,0.9582909345626831
Which regulatory body searched Nvidia's French offices in September 2023 as part of an investigation into suspected anti-competitive practices?,The French Competition Authority,French Competition Authority,True,False,False,0.8571428571428571,0.40293516672844226,0.9875928163528442
Who was the CEO of Anthropic who engaged in a public dispute with Jensen Huang in July 2025 over AI regulation?,Dario Amodei,Dario Amodei,True,False,True,1.0,0.316227766016838,1.0
What was the H20 AI chip designed to comply with?,U.S. export restrictions,U.S. export restrictions,True,False,True,1.0,0.5623413251903491,1.0000001192092896
What was the name of the new chip based on the Blackwell architecture that Nvidia was developing to succeed the H20 in the Chinese market?,B30A,B30A,True,False,True,1.0,0.1778279410038923,1.0
Where was Jensen Huang previously the director of CoreWare?,LSI Logic,LSI Logic,True,False,True,1.0,0.316227766016838,1.0
Where did Chris Malachowsky work before founding Nvidia?,Sun Microsystems,Sun Microsystems,True,False,True,1.0,0.316227766016838,1.0
Where did Curtis Priem work before founding Nvidia?,IBM and Sun Microsystems,IBM and Sun Microsystems,True,False,True,1.0,1.0,1.0000001192092896
What did the co-founders envision as the best trajectory for tackling challenges that had eluded general-purpose computing methods?,Graphics-based processing,Graphics-based processing,True,False,False,1.0,0.316227766016838,1.0000001192092896
"What two conditions, often not happening together, did Huang say made video games their 'killer app'?",Being one of the most computationally challenging problems and having incredibly high sales volume,Video games were simultaneously one of the most computationally challenging problems and would have incredibly high sales volume,False,False,False,0.8125000000000001,0.5292031904718659,0.676617443561554
Who broke the deadlock among the founders by resigning first?,Curtis Priem,Priem,False,False,True,0.6666666666666666,0.06541924356118012,0.6227174401283264
What was the problem with the NV1's design that set it apart from competitors?,"It was designed to process quadrilateral primitives, while competitors preferred triangle primitives.","to process quadrilateral primitives (forward texture mapping), a feature that set it apart from competitors, who preferred triangle primitives.",True,False,True,0.5806451612903226,0.21331098311931576,0.8082869052886963
Who was Sega's president who visited Huang to inform him of the Dreamcast decision but still invested \$5 million?,Shoichiro Irimajiri,Shoichiro Irimajiri,True,False,True,1.0,0.316227766016838,1.0
How long did Huang later reflect the \$5 million funding from Sega gave Nvidia to live?,Six months,six months,True,False,True,1.0,0.316227766016838,1.0
What graphics accelerator helped solidify Nvidia's reputation as a leader in graphics technology in 1998?,RIVA TNT,RIVA TNT,True,False,True,1.0,0.316227766016838,1.0
What was the final sale price of the Nvidia stock that Sega sold in 2000?,\$15 million,$15 million,True,False,False,1.0,0.40293516672844226,0.9486156105995178
What term did Nvidia first use to market the GeForce 256 (NV10)?,GPU (Graphics Processing Unit),GPU,True,False,False,0.4,0.0011981952414407235,0.8432502150535583
Which company supplying third-party southbridge parts to ATI was acquired by Nvidia in December 2005?,ULI Electronics,ULI Electronics,True,False,False,1.0,0.316227766016838,1.0
What magazine named Nvidia its Company of the Year for 2007?,Forbes,Forbes,True,False,False,1.0,0.1778279410038923,1.0000001192092896
What was the estimated write-down Nvidia took on its first-quarter revenue in July 2008 due to manufacturing defects?,Approximately \$200 million,$200 million,True,False,False,0.8,0.288715663092199,0.8096250891685486
"What was the total sale price of the UK-based baseband chip making company Icera, acquired by Nvidia in May 2011?",\$367 million,$367 million,True,False,False,1.0,0.40293516672844226,0.9603413343429565
What two Valve games did Nvidia port to its Nvidia Shield Tablet in 2014?,Portal and Half Life 2,Portal and Half Life 2,True,False,False,1.0,1.0,1.0
"What did the GTX 1080 and 1070 GPUs incorporate in terms of memory, respectively?",GDDR5X (GTX 1080) and GDDR5 (GTX 1070),GDDR5X,True,False,False,0.25,8.07337603138401e-06,0.7548701763153076
In what year did Google announce that Nvidia's Tesla P4 graphic cards would be integrated into Google Cloud service's AI?,2018,2018,True,False,True,1.0,0.1778279410038923,1.0
"What was the name of the first of the two new Nvidia headquarters buildings in Santa Clara, California, completed in 2017?",Endeavor,Aerial view of Endeavor,False,False,True,0.4,0.08034284189446518,0.6656559109687805
"What was the name of the second of the two giant buildings at Nvidia's new headquarters complex, opened in May 2022?",Voyager,Voyager,True,False,True,1.0,0.1778279410038923,1.0
What did Nvidia announce it was acquiring in May 2020 before absorbing it into its networking business unit?,Cumulus Networks,Cumulus Networks,True,False,True,1.0,0.316227766016838,1.0
What was the focus of the collaboration announced between Nvidia and the Broad Institute of MIT and Harvard in September 2022?,"The entire suite of Nvidia's AI-powered healthcare software suite called Clara, which includes Parabricks and MONAI.",the entire suite of Nvidia's Al-powered healthcare software suite called Clara,True,False,False,0.7741935483870968,0.4100938456458014,0.8146148324012756
What event occurred at the Denny's diner on Berryessa Road in September 2023 to mark the founding of Nvidia?,A plaque was installed to mark the relevant corner booth as the birthplace of a \$1 trillion company.,a plaque was installed to mark the relevant corner booth as the birthplace of a $1 trillion company,True,False,False,1.0,0.8164795700243452,0.9799647927284241
What was the market capitalization of Nvidia in January 2021?,Over US\$328.7 billion,US$328.7 billion,True,False,False,0.888888888888889,0.3096787331587729,0.9056321978569031
What was Nvidia's total revenue for the fiscal year 2020 (in billions of US dollars)?,US\$10.918 billion,10.918 billion,True,False,False,0.8571428571428571,0.11633369384516798,0.8261212706565857
What percentage of Nvidia's sales came from the Compute & networking business unit in 2023?,77.8%,47.4 77.8%,True,False,False,0.6666666666666666,0.24028114141347542,0.8558422327041626
What region accounted for the largest share of Nvidia's sales in 2023?,United States (44.3%),United States,False,False,False,0.6666666666666666,0.04279677428117006,0.5989507436752319
"Who is the co-founder of Nvidia who holds the title of ""Nvidia fellow"" as of March 2024?",Chris Malachowsky,Chris Malachowsky,True,False,True,1.0,0.316227766016838,1.0
What is the name of the multi-display business graphics processor in Nvidia's product families?,NVS,NVS,True,False,False,1.0,0.1778279410038923,1.0
What is the name of the motherboard chipset created by Nvidia for Intel and AMD microprocessors?,nForce,nForce,True,False,False,1.0,0.1778279410038923,1.0
What product family is a set of hardware and services by Nvidia for graphics virtualization?,GRID,GRID,True,False,True,1.0,0.1778279410038923,1.0
What is the name of the operating system for driverless cars developed by Nvidia as part of the Drive product line?,Driveworks,Driveworks,True,False,False,1.0,0.1778279410038923,1.0
What is the codename for Nvidia's Datacenter/server class CPU released in 2023?,Grace,Grace,True,False,True,1.0,0.1778279410038923,1.0000001192092896
What is the name of the platform providing developers a suite of AI-based conferencing software?,Maxine,Maxine,True,False,True,1.0,0.1778279410038923,1.0
What did Linus Torvalds do and say in a 2012 talk to criticize Nvidia's stance toward Linux?,He gave a middle-finger gesture and criticized Nvidia's stance toward Linux.,Give a middle-finger gesture,False,False,True,0.4444444444444444,0.041910459064397936,0.40787962079048157
What key component did Nvidia start requiring with its Maxwell GPUs in 2014 to unlock all features of its graphics cards?,Firmware by them (Nvidia),firmware,True,False,True,0.4,0.0011981952414407235,0.7359694242477417
"What did Nvidia announce on May 12, 2022, regarding its GPU software?",They are opensourcing their GPU kernel modules.,opensourcing their GPU kernel modules,True,False,False,0.8333333333333333,0.5488116360940264,0.8595780730247498
What open-source project was enhanced in 2023 to allow proper power management and GPU reclocking for Turing and newer graphics card generations?,Nouveau,Nvidia's firmware,False,False,False,0.0,0.0,0.2954789698123932
"What computing architecture did Nvidia announce they would extend CUDA support to on July 21, 2025?",RISC-V,RISC-V,True,False,True,1.0,0.1778279410038923,1.0000001192092896
What open-source foundation model for humanoid robots did Nvidia announce in 2025?,Isaac GROOT N1,Isaac GROOT N1,True,False,False,1.0,0.5623413251903491,1.0000001192092896
What was the cumulative funding of the startups in the Nvidia Inception Program as of August 2021?,US\$60 billion,US$60 billion,True,False,False,1.0,0.3976353643835253,0.9567748308181763
What was the initial problem users found with the GeForce GTX 970's memory despite featuring 4 GB of VRAM?,"The cards rarely accessed memory over the 3.5 GB boundary, despite having 4 GB of VRAM.",rarely accessed memory over the 3.5 GB boundary,True,False,False,0.6923076923076924,0.2865047968601901,0.7389679551124573
What was the primary focus of the GeForce Partner Program (GPP) before it was canceled?,"To provide partnering companies with benefits such as public relations support, video game bundling, and marketing development funds.","public relations support, video game bundling, and marketing development funds",True,False,False,0.7142857142857143,0.4723665527410147,0.781928300857544
In what month and year was the GeForce Partner Program (GPP) canceled?,May 2018,"March 1, 2018",True,False,True,0.4,0.08034284189446518,0.7754796147346497
Who was the Senior PR Manager at Nvidia whose email was disclosed by Steven Walton regarding the Hardware Unboxed controversy?,Bryan Del Rizzo,Bryan Del Rizzo,True,False,True,1.0,0.5623413251903491,1.0
What was the main point of Linus Sebastian's criticism of Nvidia's move in the Hardware Unboxed controversy?,The company's move to dictate specific outcomes of technology reviews,He was highly critical of the company's move to dictate specific outcomes of technology reviews.,True,False,False,0.8148148148148148,0.6102169202557912,0.7467402219772339
"What did Chinese government directives warn domestic companies against purchasing, leading to Nvidia halting H20 AI chip production in August 2025?",The H20 AI chip due to security concerns,security concerns,False,False,True,0.4,0.015744053406497194,0.3514113426208496
What two key memory specifications (HBM3 memory and bandwidth) did the H20 chip have that were higher than the H100?,96GB of HBM3 memory and 4.0 TB/s memory bandwidth,96GB of HBM3 memory and 4.0 TB/s memory bandwidth,True,False,False,1.0,1.0,1.0
Who was the root user of the AWS account?,I do not have this information based on the provided text.,Not found in document,False,False,True,0.13333333333333333,0.010873221263821838,0.08300438523292542
How did the computational power (TFLOPs) of the H20 compare to the H100?,Significantly reduced; H20 had 296 TFLOPs compared to H100's 1979 TFLOPs.,significantly reduced computational power at 296 TFLOPs compared to the H100's 1979 TFLOPs,True,False,False,0.7692307692307692,0.39073802494525,0.7567164301872253
"Despite lower raw performance, how much faster did the H20 demonstrate compared to the H100 in large language model inference tasks?",Over 20% faster,Over 20%,False,False,True,0.8,0.40293516672844226,0.6649242043495178
"Which two Chinese tech firms were cited as having strong demand for the H20 chips, leading to substantial orders from TSMC in July 2025?",Tencent and Alibaba,Tencent and Alibaba,True,False,False,1.0,0.5623413251903491,1.0
What company did Nvidia acquire in July 2025?,"CentL, a Canadian-based AI firm",CentL,False,False,True,0.2857142857142857,0.0011981952414407235,0.6174618005752563
How long did it take Nvidia to get to a \$2 trillion market capitalization from a \$1 trillion valuation?,Only 180 days,180 days,True,False,False,0.8,0.19180183554164504,0.9141057133674622
What two chips did Nvidia unveil at GTC 2025 as its next-generation AI hardware?,Blackwell Ultra and Vera Rubin chips,Blackwell Ultra and Vera Rubin chips,True,False,False,1.0,1.0,1.0000001192092896
What did Jensen Huang project Nvidia's data center revenue would reach by 2028?,\$1 trillion,$1 trillion,True,False,False,1.0,0.40293516672844226,0.9569471478462219
What open-source foundation model for humanoid robots was introduced at GTC 2025?,Isaac GROOT N1 (humanoid robotics model),Isaac GROOT N1,True,False,False,0.6666666666666666,0.10621255679580059,0.708814263343811
"What was the magnitude of Nvidia's investment in Intel, announced in September 2025?",\$5 billion,$5 billion,True,False,False,1.0,0.40293516672844226,0.9445562362670898
What percentage immediate holding would Nvidia gain in Intel after new shares are issued from the September 2025 agreement?,About 4%,4%,True,False,False,0.6666666666666666,0.19180183554164504,0.8782680034637451
What was the purpose of the September 2025 partnership between Nvidia and OpenAI?,"Nvidia would invest \$100 billion into OpenAI, and OpenAI would use Nvidia chips and systems in new data centers.",to invest $100 billion into OpenAl,False,False,False,0.32,0.04421171794051313,0.4690592288970947
What is the circular arrangement model common in AI partnerships that describes the Nvidia/OpenAI deal?,OpenAI will pay back Nvidia's investment through the purchase of Nvidia's chips.,OpenAl will pay back Nvidia's investment through the purchase of Nvidia's chips,True,False,False,0.9285714285714286,0.8559471626823624,0.8676823973655701
What was the name of the new data center being constructed in Virginia in October 2025 that was to be the first commercial application of AI-developed software to adjust power grid energy draw?,"""Aurora""",Aurora,True,False,True,1.0,0.024066394763145416,0.9200456738471985
What was the name of the Taiwanese-American electrical engineer who co-founded Nvidia and remains its president and CEO?,Jensen Huang,Jensen Huang,True,False,False,1.0,0.316227766016838,1.0
What financial milestone did Nvidia become the first company in the world to surpass in market capitalization in 2025?,US\$4 trillion and US\$5 trillion,US$4 trillion,True,False,True,0.6,0.11392443929712959,0.8743849992752075
What did Jensen Huang cite as the reason for leaving LSI to become the new startup's CEO?,A compelling vision of the future discussed with the co-founders,vision of the future,False,False,True,0.5333333333333333,0.22313016014842982,0.5945929288864136
What was the name Priem originally wanted to call Nvidia's first product?,"""GXNV""",GXNV,True,False,False,1.0,0.024066394763145416,0.8879256248474121
"What was the name Malachowsky and Priem wanted to call the company, which was already taken by a toilet paper manufacturer?",NVision,NVision,True,False,True,1.0,0.1778279410038923,1.0
What was the primary difference in the architecture of the GeForce GTX 970's memory compared to its advertised 4 GB?,It was designed to access its memory as a 3.5 GB high-speed section and a 0.5 GB slow-speed section.,"It was revealed that the card was designed to access its memory as a 3.5 GB section, plus a 0.5 GB one, access to the latter being 7 times slower than the first one",True,False,False,0.5762711864406781,0.2992694690475121,0.789915144443512
What was the main criticism made by the SEC regarding Nvidia's cryptomining disclosures?,The omissions misled investors and analysts interested in the impact of cryptomining on Nvidia's business.,omissions misled investors and analysts who were interested in understanding the impact of cryptomining on Nvidia's business,True,False,False,0.8823529411764706,0.6268593335004975,0.9730299115180969
What did Amodei vehemently deny regarding Jensen Huang's allegations in their AI regulation dispute?,Huang's allegations that he sought to control the AI industry through safety concerns,Amodei vehemently denied Huang's allegations that he sought to control the Al industry through safety concerns,False,False,False,0.8387096774193549,0.630190855592386,0.6334941983222961
"What type of product was the RTX Pro 6000D, which the Cyberspace Administration of China (CAC) ordered companies not to purchase?",A graphics chip made specifically for the Chinese market,Graphics chip,False,False,False,0.3636363636363636,0.009549251099193677,0.6919894814491272
What was the core reason China's internet regulator banned large technology companies from buying Nvidia's AI chips in September 2025?,As part of efforts to strengthen the domestic industry and compete with the United States.,efforts to strengthen the domestic industry and compete with the United States,True,False,True,0.888888888888889,0.7165313105737893,0.9299759864807129
What is the fundamental benefit of Nvidia's fabless manufacturing model?,"It avoids most of the investment, production costs, and risks associated with chip manufacturing, allowing resources to focus on design, QA, marketing, and support.","Nvidia focuses its own resources on product design, quality assurance, marketing, and customer support",False,False,False,0.3684210526315789,0.08269548434672158,0.3908378779888153
What percentage of Nvidia's sales came from the Graphics business unit in 2023?,22.2%,22.2%,True,False,False,1.0,0.316227766016838,1.0
What country accounted for the second-largest share of Nvidia's sales in 2023?,Taiwan (22.0%),Taiwan,True,False,False,0.5,0.003257032351754417,0.7755993604660034
How many employees did Nvidia have in the fiscal year 2025?,"36,000","130,497 72,880 36,000",False,False,True,0.5,0.11362193664674995,0.5504472851753235
What was the growth in sales for Nvidia in Q2 of 2020 compared to the same period in 2019?,50% rise (sales of \$3.87 billion),$3.87 billion,False,False,True,0.6,0.0390734160394292,0.5340685844421387
What was the main theme of the GTC 2025 conference that the Blackwell Ultra and Vera Rubin chips were signaling a leap toward?,Agentic AI and reasoning-capable computing,agentic Al and reasoning-capable computing,True,False,True,0.8333333333333334,0.28574404296988,0.8289453387260437
